131858142,   0.023,  -0.002,  -0.035,  -3.789,  -0.383,   8.985
131879761,   0.033,  -0.011,  -0.042,  -3.832,  -0.305,   8.933
131898978,   0.035,  -0.015,  -0.051,  -3.875,  -0.223,   8.926
131918193,   0.036,  -0.033,  -0.055,  -3.937,  -0.211,   8.938
131937409,   0.034,  -0.043,  -0.060,  -3.996,  -0.230,   8.886
131959027,   0.029,  -0.050,  -0.064,  -4.038,  -0.303,   8.791
131978244,   0.023,  -0.075,  -0.067,  -4.055,  -0.332,   8.730
131997460,   0.023,  -0.108,  -0.074,  -4.060,  -0.327,   8.774
132019078,   0.043,  -0.120,  -0.088,  -4.037,  -0.227,   8.918
132038295,   0.060,  -0.107,  -0.103,  -4.003,  -0.274,   9.025
132057511,   0.071,  -0.091,  -0.103,  -3.894,  -0.402,   9.037
132079130,   0.074,  -0.094,  -0.094,  -3.793,  -0.459,   9.006
132098346,   0.067,  -0.103,  -0.076,  -3.752,  -0.466,   9.043
132117561,   0.058,  -0.102,  -0.059,  -3.714,  -0.439,   9.070
132139180,   0.046,  -0.099,  -0.038,  -3.724,  -0.377,   9.117
132158397,   0.037,  -0.098,  -0.027,  -3.741,  -0.317,   9.107
132177612,   0.027,  -0.092,  -0.021,  -3.717,  -0.290,   9.074
132199230,   0.017,  -0.095,  -0.014,  -3.652,  -0.402,   9.044
132218446,   0.007,  -0.109,  -0.001,  -3.588,  -0.390,   9.060
132237663,   0.002,  -0.116,   0.002,  -3.589,  -0.309,   9.150
132259281,   0.003,  -0.109,   0.009,  -3.558,  -0.340,   9.210
132278498,   0.011,  -0.102,   0.021,  -3.491,  -0.419,   9.158
132297713,   0.003,  -0.116,   0.038,  -3.517,  -0.437,   9.064
132319332,  -0.011,  -0.134,   0.040,  -3.588,  -0.232,   9.091
132338548,  -0.026,  -0.133,   0.034,  -3.651,  -0.180,   9.165
132357764,  -0.018,  -0.115,   0.035,  -3.686,  -0.201,   9.155
132379383,  -0.010,  -0.113,   0.040,  -3.667,  -0.322,   9.153
132398598,  -0.006,  -0.115,   0.035,  -3.644,  -0.316,   9.134
132417814,  -0.013,  -0.102,   0.022,  -3.615,  -0.324,   9.155
132439434,  -0.014,  -0.093,   0.015,  -3.548,  -0.320,   9.156
132458649,   0.001,  -0.096,   0.017,  -3.473,  -0.273,   9.138
132477866,   0.006,  -0.108,   0.013,  -3.463,  -0.169,   9.134
132499484,   0.000,  -0.112,  -0.004,  -3.435,  -0.150,   9.168
132518701,  -0.003,  -0.107,  -0.010,  -3.362,  -0.250,   9.169
132537916,  -0.003,  -0.107,   0.001,  -3.266,  -0.444,   9.290
132559534,  -0.003,  -0.097,   0.019,  -3.205,  -0.451,   9.436
132578751,  -0.006,  -0.074,   0.025,  -3.208,  -0.350,   9.496
132597967,  -0.020,  -0.050,   0.019,  -3.211,  -0.281,   9.408
132619585,  -0.020,  -0.054,   0.021,  -3.290,  -0.219,   9.131
132638801,  -0.010,  -0.085,   0.013,  -3.397,  -0.090,   8.970
132658018,  -0.006,  -0.100,  -0.017,  -3.425,  -0.030,   9.120
132679637,   0.011,  -0.084,  -0.052,  -3.396,  -0.138,   9.244
132698852,   0.028,  -0.076,  -0.063,  -3.339,  -0.414,   9.281
132718069,   0.049,  -0.085,  -0.060,  -3.229,  -0.429,   9.242
132739687,   0.055,  -0.089,  -0.048,  -3.132,  -0.532,   9.263
132758903,   0.032,  -0.085,  -0.036,  -3.077,  -0.385,   9.321
132778119,   0.013,  -0.083,  -0.019,  -3.085,  -0.304,   9.429
132799738,  -0.006,  -0.066,  -0.006,  -3.073,  -0.195,   9.545
132818953,  -0.023,  -0.034,  -0.005,  -3.056,  -0.214,   9.601
132838170,  -0.017,   0.006,  -0.002,  -2.999,  -0.357,   9.572
132857386,  -0.014,   0.029,   0.000,  -3.037,  -0.480,   9.507
132879005,   0.002,   0.050,   0.003,  -3.098,  -0.451,   9.490
132898221,   0.007,   0.075,   0.000,  -3.104,  -0.406,   9.432
132917436,   0.015,   0.092,   0.003,  -3.113,  -0.338,   9.365
132939056,   0.014,   0.094,   0.010,  -3.135,  -0.267,   9.310
132958271,   0.003,   0.088,   0.018,  -3.189,  -0.280,   9.284
132977487,  -0.015,   0.092,   0.025,  -3.229,  -0.292,   9.236
132999105,  -0.031,   0.088,   0.029,  -3.322,  -0.281,   9.204
133018322,  -0.036,   0.078,   0.026,  -3.389,  -0.275,   9.188
133037538,  -0.025,   0.078,   0.018,  -3.403,  -0.299,   9.213
133059156,  -0.007,   0.088,   0.014,  -3.400,  -0.389,   9.274
133078373,   0.004,   0.103,   0.018,  -3.425,  -0.447,   9.293
133097589,   0.003,   0.111,   0.016,  -3.467,  -0.395,   9.309
133119207,  -0.004,   0.125,   0.013,  -3.520,  -0.300,   9.211
133138423,  -0.002,   0.130,   0.007,  -3.585,  -0.244,   9.105
133157639,   0.000,   0.129,   0.004,  -3.636,  -0.195,   9.061
133179258,  -0.003,   0.115,  -0.004,  -3.703,  -0.232,   8.974
133198475,  -0.007,   0.098,  -0.012,  -3.693,  -0.285,   8.927
133217691,  -0.001,   0.081,  -0.017,  -3.673,  -0.363,   8.962
133239308,   0.005,   0.062,  -0.018,  -3.658,  -0.375,   8.988
133258524,   0.011,   0.037,  -0.019,  -3.687,  -0.384,   8.961
133277741,   0.016,   0.016,  -0.018,  -3.715,  -0.346,   8.902
133299360,   0.015,  -0.011,  -0.020,  -3.728,  -0.286,   8.886
133318576,   0.006,  -0.026,  -0.028,  -3.711,  -0.249,   9.018
133337792,   0.004,  -0.031,  -0.031,  -3.674,  -0.287,   9.085
133359410,   0.016,  -0.030,  -0.029,  -3.638,  -0.406,   9.123
133378627,   0.020,  -0.022,  -0.028,  -3.624,  -0.376,   9.158
133397843,   0.017,  -0.018,  -0.033,  -3.660,  -0.364,   9.152
133419461,   0.016,  -0.011,  -0.033,  -3.667,  -0.365,   9.128
133438677,   0.019,  -0.004,  -0.029,  -3.696,  -0.362,   9.138
133457893,   0.021,   0.005,  -0.025,  -3.703,  -0.334,   9.144
133479512,   0.014,   0.007,  -0.027,  -3.700,  -0.309,   9.099
133498728,   0.011,   0.003,  -0.032,  -3.672,  -0.345,   9.074
133517943,   0.019,   0.007,  -0.031,  -3.629,  -0.366,   9.058
133539563,   0.025,   0.006,  -0.029,  -3.618,  -0.348,   9.097
133558778,   0.022,  -0.005,  -0.028,  -3.636,  -0.326,   9.061
133577995,   0.018,  -0.021,  -0.032,  -3.679,  -0.292,   9.043
133599613,   0.013,  -0.022,  -0.033,  -3.752,  -0.291,   9.018
133618829,   0.016,  -0.021,  -0.033,  -3.771,  -0.332,   8.985
133638046,   0.017,  -0.033,  -0.032,  -3.736,  -0.396,   9.032
133659663,   0.023,  -0.042,  -0.032,  -3.666,  -0.442,   9.097
133678880,   0.028,  -0.039,  -0.027,  -3.642,  -0.478,   9.111
133698096,   0.034,  -0.030,  -0.018,  -3.638,  -0.432,   9.168
133719715,   0.029,  -0.020,  -0.012,  -3.624,  -0.334,   9.225
133738931,   0.019,  -0.015,  -0.013,  -3.579,  -0.275,   9.211
133758147,   0.014,   0.004,  -0.018,  -3.540,  -0.232,   9.244
133779764,   0.017,   0.033,  -0.021,  -3.527,  -0.266,   9.310
133798981,   0.025,   0.055,  -0.021,  -3.551,  -0.284,   9.326
133818198,   0.020,   0.077,  -0.025,  -3.532,  -0.369,   9.356
133837414,   0.020,   0.102,  -0.022,  -3.544,  -0.374,   9.240
133859032,   0.011,   0.112,  -0.016,  -3.588,  -0.368,   9.113
133878248,   0.011,   0.108,  -0.011,  -3.643,  -0.332,   9.109
133897465,   0.010,   0.105,  -0.003,  -3.712,  -0.312,   9.123
133919083,   0.002,   0.113,   0.003,  -3.723,  -0.357,   9.054
133938299,  -0.006,   0.109,   0.004,  -3.771,  -0.328,   8.976
133957515,  -0.009,   0.092,   0.003,  -3.825,  -0.300,   8.933
133979134,   0.000,   0.076,   0.006,  -3.854,  -0.358,   8.955
133998350,   0.003,   0.075,   0.009,  -3.874,  -0.362,   8.955
134017565,   0.003,   0.065,   0.007,  -3.924,  -0.358,   8.896
134039185,  -0.006,   0.040,   0.006,  -3.978,  -0.297,   8.884
134058400,  -0.007,   0.026,   0.005,  -4.043,  -0.308,   8.854
134077617,   0.002,   0.032,   0.007,  -4.121,  -0.281,   8.859
134099235,   0.001,   0.038,   0.004,  -4.142,  -0.317,   8.904
134118452,  -0.007,   0.036,   0.000,  -4.123,  -0.384,   8.922
134137667,  -0.002,   0.047,  -0.001,  -3.846,  -0.636,   9.214
134159286,  -0.222,   0.064,   0.044,  -3.886,  -0.952,   9.445
134178502,  -0.241,   0.156,   0.146,  -4.004,  -0.694,   9.734
134197718,  -0.235,   0.210,   0.165,  -4.177,   0.245,   8.963
134219336,  -0.207,   0.180,   0.080,  -4.037,   0.122,   8.500
134238552,  -0.244,   0.144,   0.009,  -3.957,  -0.050,   8.449
134257769,  -0.213,   0.124,   0.003,  -4.004,  -0.845,   8.793
134279387,  -0.199,   0.080,   0.038,  -3.964,  -0.863,   8.889
134298604,  -0.140,   0.054,   0.062,  -4.087,  -0.737,   8.850
