33777710,0.009,-0.015,-0.012,-0.729,0.657,9.815,,,,,,,,
33799327,0.009,-0.015,-0.011,-0.745,0.66,9.82,,,,,,,,
33818546,0.009,-0.017,-0.011,-0.746,0.661,9.82,,,,,,,,
33837763,0.01,-0.014,-0.011,-0.712,0.657,9.811,,,,,,,,
33856980,0.01,-0.015,-0.011,-0.723,0.663,9.803,,,,,,,,
33878600,0.01,-0.015,-0.011,-0.741,0.648,9.8,,,,,,,,
33897817,0.009,-0.017,-0.01,-0.727,0.655,9.795,,,,,,,,
33917035,0.007,-0.016,-0.012,-0.736,0.655,9.824,,,,,,,,
33938654,0.01,-0.015,-0.011,-0.733,0.654,9.806,,,,,,,,
33957872,0.009,-0.014,-0.011,-0.737,0.661,9.809,,,,,,,,
33977090,0.009,-0.016,-0.012,-0.722,0.664,9.799,,,,,,,,
33998709,0.009,-0.016,-0.011,-0.728,0.654,9.811,,,,,,,,
34017926,0.009,-0.015,-0.01,-0.73,0.658,9.817,,,,,,,,
34037145,0.01,-0.013,-0.011,-0.725,0.654,9.807,,,,,,,,
34058763,0.009,-0.016,-0.012,-0.74,0.642,9.809,,,,,,,,
34077981,0.007,-0.017,-0.01,-0.74,0.66,9.801,,,,,,,,
34097198,0.007,-0.016,-0.011,-0.723,0.664,9.808,,,,,,,,
34118820,0.007,-0.015,-0.01,-0.724,0.644,9.801,,,,,,,,
34138038,0.007,-0.015,-0.011,-0.735,0.661,9.829,,,,,,,,
34157253,0.007,-0.017,-0.01,-0.721,0.666,9.825,,,,,,,,
34178874,0.007,-0.016,-0.011,-0.73,0.661,9.811,,,,,,,,
34198091,0.009,-0.014,-0.01,-0.746,0.658,9.817,,,,,,,,
34217308,0.009,-0.015,-0.011,-0.736,0.64,9.824,,,,,,,,
34238929,0.009,-0.016,-0.012,-0.728,0.667,9.808,,,,,,,,
34258144,0.007,-0.016,-0.012,-0.74,0.652,9.818,,,,,,,,
34277363,0.007,-0.016,-0.011,-0.73,0.643,9.82,,,,,,,,
34298984,0.01,-0.014,-0.011,-0.728,0.643,9.795,,,,,,,,
34318200,0.009,-0.015,-0.011,-0.734,0.65,9.794,,,,,,,,
34337419,0.007,-0.015,-0.011,-0.736,0.654,9.821,,,,,,,,
34359039,0.009,-0.016,-0.012,-0.727,0.655,9.813,,,,,,,,
34378255,0.006,-0.016,-0.013,-0.749,0.65,9.809,,,,,,,,
34397471,0.009,-0.015,-0.011,-0.731,0.639,9.811,,,,,,,,
34419092,0.009,-0.015,-0.011,-0.731,0.645,9.806,,,,,,,,
34438309,0.009,-0.016,-0.011,-0.73,0.654,9.819,,,,,,,,
34457526,0.009,-0.015,-0.012,-0.741,0.667,9.817,,,,,,,,
34479147,0.009,-0.015,-0.011,-0.729,0.644,9.818,,,,,,,,
34498364,0.007,-0.016,-0.011,-0.739,0.646,9.8,,,,,,,,
34517580,0.007,-0.015,-0.01,-0.73,0.657,9.824,,,,,,,,
